DATE,CITY,PRECIPITATION,PRCP
2020-04-23,New York City,0.035,0.035
2020-04-24,New York City,0.501,0.501
2020-04-25,New York City,0.135,0.135
2020-04-26,New York City,0.07111111111111111,0.07111111111111111
2020-04-27,New York City,0.177,0.177
2020-04-28,New York City,0.019,0.019
2020-04-29,New York City,0.003,0.003
2020-04-30,New York City,0.307,0.307
2020-05-01,New York City,0.40199999999999997,0.40199999999999997
2020-05-02,New York City,0.079,0.079
2020-05-03,New York City,0.122,0.122
2020-05-04,New York City,0.037,0.037
2020-05-05,New York City,0.0,0.0
2020-05-06,New York City,0.013000000000000001,0.013000000000000001
2020-05-07,New York City,0.05,0.05
2020-05-08,New York City,0.10600000000000001,0.10600000000000001
2020-05-09,New York City,0.367,0.367
2020-05-10,New York City,0.003,0.003
2020-05-11,New York City,0.01,0.01
2020-05-12,New York City,0.041999999999999996,0.041999999999999996
2020-05-13,New York City,0.001,0.001
2020-05-14,New York City,0.0,0.0
2020-05-15,New York City,0.052000000000000005,0.052000000000000005
2020-05-16,New York City,0.09777777777777778,0.09777777777777778
2020-05-17,New York City,0.0,0.0
2020-05-18,New York City,0.0,0.0
2020-05-19,New York City,0.0,0.0
2020-05-20,New York City,0.0,0.0
2020-05-21,New York City,0.0,0.0
2020-05-22,New York City,0.015555555555555557,0.015555555555555557
2020-05-23,New York City,0.25222222222222224,0.25222222222222224
2020-05-24,New York City,0.4766666666666667,0.4766666666666667
2020-05-25,New York City,0.008888888888888889,0.008888888888888889
2020-05-26,New York City,0.006666666666666666,0.006666666666666666
2020-05-27,New York City,0.0,0.0
2020-05-28,New York City,0.013333333333333334,0.013333333333333334
2020-05-29,New York City,0.015555555555555557,0.015555555555555557
2020-05-30,New York City,0.06666666666666667,0.06666666666666667
2020-05-31,New York City,0.0,0.0
2020-06-01,New York City,0.0,0.0
2020-06-02,New York City,0.0,0.0
2020-06-03,New York City,0.19,0.19
2020-06-04,New York City,0.36333333333333334,0.36333333333333334
2020-06-05,New York City,0.3433333333333333,0.3433333333333333
2020-06-06,New York City,0.19777777777777777,0.19777777777777777
2020-06-07,New York City,0.17666666666666664,0.17666666666666664
2020-06-08,New York City,0.0,0.0
2020-06-09,New York City,0.0,0.0
2020-06-10,New York City,0.0,0.0
2020-06-11,New York City,0.143,0.143
2020-06-12,New York City,0.378,0.378
2020-06-13,New York City,0.0,0.0
2020-06-14,New York City,0.0,0.0
2020-06-15,New York City,0.0,0.0
2020-06-16,New York City,0.0,0.0
2020-06-17,New York City,0.0,0.0
2020-06-18,New York City,0.0,0.0
2020-06-19,New York City,0.0,0.0
2020-06-20,New York City,0.0,0.0
2020-06-21,New York City,0.0,0.0
2020-06-22,New York City,0.0,0.0
2020-06-23,New York City,0.0,0.0
2020-06-24,New York City,0.0,0.0
2020-06-25,New York City,0.0,0.0
2020-06-26,New York City,0.0,0.0
2020-06-27,New York City,0.073,0.073
2020-06-28,New York City,0.15363636363636363,0.15363636363636363
2020-06-29,New York City,0.15454545454545454,0.15454545454545454
2020-06-30,New York City,0.04,0.04
2020-07-01,New York City,0.1781818181818182,0.1781818181818182
2020-07-02,New York City,0.22999999999999998,0.22999999999999998
2020-07-03,New York City,0.11499999999999999,0.11499999999999999
2020-07-04,New York City,0.386,0.386
2020-07-05,New York City,0.001,0.001
2020-07-06,New York City,0.05700000000000001,0.05700000000000001
2020-07-07,New York City,0.079,0.079
2020-07-08,New York City,0.005,0.005
2020-07-09,New York City,0.225,0.225
2020-07-10,New York City,0.5509999999999999,0.5509999999999999
2020-07-11,New York City,1.0409090909090908,1.0409090909090908
2020-07-12,New York City,0.15636363636363637,0.15636363636363637
2020-07-13,New York City,0.03,0.03
2020-07-14,New York City,0.001,0.001
2020-07-15,New York City,0.003,0.003
2020-07-16,New York City,0.0,0.0
2020-07-17,New York City,0.04111111111111111,0.04111111111111111
2020-07-18,New York City,0.079,0.079
2020-07-19,New York City,0.0,0.0
2020-07-20,New York City,0.0,0.0
2020-07-21,New York City,0.0,0.0
2020-07-22,New York City,0.259,0.259
2020-07-23,New York City,0.24900000000000003,0.24900000000000003
2020-07-24,New York City,0.175,0.175
2020-07-25,New York City,0.15272727272727274,0.15272727272727274
2020-07-26,New York City,0.0,0.0
2020-07-27,New York City,0.0,0.0
2020-07-28,New York City,0.004545454545454546,0.004545454545454546
2020-07-29,New York City,0.0,0.0
2020-07-30,New York City,0.007272727272727273,0.007272727272727273
2020-07-31,New York City,0.748,0.748
2020-08-01,New York City,0.009,0.009
2020-08-02,New York City,0.003333333333333333,0.003333333333333333
2020-08-03,New York City,0.09200000000000001,0.09200000000000001
2020-08-04,New York City,0.30454545454545456,0.30454545454545456
2020-08-05,New York City,0.23750000000000002,0.23750000000000002
2020-08-06,New York City,0.012727272727272728,0.012727272727272728
2020-08-07,New York City,0.1590909090909091,0.1590909090909091
2020-08-08,New York City,0.053000000000000005,0.053000000000000005
2020-08-09,New York City,0.0009090909090909091,0.0009090909090909091
2020-08-10,New York City,0.0,0.0
2020-08-11,New York City,0.006363636363636364,0.006363636363636364
2020-08-12,New York City,0.27636363636363637,0.27636363636363637
2020-08-13,New York City,0.08454545454545455,0.08454545454545455
2020-08-14,New York City,0.06545454545454545,0.06545454545454545
2020-08-15,New York City,0.0,0.0
2020-08-16,New York City,0.09818181818181819,0.09818181818181819
2020-08-17,New York City,0.4309090909090909,0.4309090909090909
2020-08-18,New York City,0.5618181818181818,0.5618181818181818
2020-08-19,New York City,0.11727272727272728,0.11727272727272728
2020-08-20,New York City,0.17454545454545453,0.17454545454545453
2020-08-21,New York City,0.003,0.003
2020-08-22,New York City,0.0,0.0
2020-08-23,New York City,0.009,0.009
2020-08-24,New York City,0.0,0.0
2020-08-25,New York City,0.03833333333333334,0.03833333333333334
2020-08-26,New York City,0.06916666666666667,0.06916666666666667
2020-08-27,New York City,0.15363636363636363,0.15363636363636363
2020-08-28,New York City,0.3172727272727273,0.3172727272727273
2020-08-29,New York City,0.049090909090909095,0.049090909090909095
2020-08-30,New York City,0.06363636363636364,0.06363636363636364
2020-08-31,New York City,0.0009090909090909091,0.0009090909090909091
2020-09-01,New York City,0.18636363636363634,0.18636363636363634
2020-09-02,New York City,0.1281818181818182,0.1281818181818182
2020-09-03,New York City,0.25181818181818183,0.25181818181818183
2020-09-04,New York City,0.3018181818181818,0.3018181818181818
2020-09-05,New York City,0.0009090909090909091,0.0009090909090909091
2020-09-06,New York City,0.0,0.0
2020-09-07,New York City,0.0,0.0
2020-09-08,New York City,0.0,0.0
2020-09-09,New York City,0.0,0.0
2020-09-10,New York City,1.5491666666666666,1.5491666666666666
2020-09-11,New York City,0.465,0.465
2020-09-12,New York City,0.0022222222222222222,0.0022222222222222222
2020-09-13,New York City,0.0,0.0
2020-09-14,New York City,0.0,0.0
2020-09-15,New York City,0.0,0.0
2020-09-16,New York City,0.0,0.0
2020-09-17,New York City,0.0,0.0
2020-09-18,New York City,0.024545454545454547,0.024545454545454547
2020-09-19,New York City,0.0009090909090909091,0.0009090909090909091
2020-09-20,New York City,0.0,0.0
2020-09-21,New York City,0.0,0.0
2020-09-22,New York City,0.0,0.0
2020-09-23,New York City,0.0,0.0
2020-09-24,New York City,0.0,0.0
2020-09-25,New York City,0.0,0.0
2020-09-26,New York City,0.00818181818181818,0.00818181818181818
2020-09-27,New York City,0.00818181818181818,0.00818181818181818
2020-09-28,New York City,0.057499999999999996,0.057499999999999996
2020-09-29,New York City,0.055833333333333325,0.055833333333333325
2020-09-30,New York City,1.0591666666666668,1.0591666666666668
2020-10-01,New York City,0.002727272727272727,0.002727272727272727
2020-10-02,New York City,0.03272727272727272,0.03272727272727272
